"Product_Collection","Vertical_Segment","Processor_Number","Status","Launch_Date","Lithography(nm)","nb_of_Cores","nb_of_Threads","Processor_Base_Frequency(MHz)","Cache_Size(MB)","Type_Of_Cache","TDP(Watts)","Max_Memory_Size(GB)","Max_Memory_Bandwidth(GB/s)","Graphics_Base_Frequency(MHz)","Graphics_Max_Dynamic_Frequency(MHz)","Instruction_Set","Recommended_Customer_Price(USD)"
"Legacy Intel® Pentium® Processor","Mobile","T2060","End of Interactive Support",2007,65,2,4,1600,1,"L2",31,32,25.6,350,1050,"32-bit",999
"Legacy Intel® Pentium® Processor","Desktop","955","End of Interactive Support",2006,65,2,4,3460,4,"L2",130,32,25.6,350,1050,"64-bit",999
"Legacy Intel® Pentium® Processor","Desktop","840","End of Interactive Support",2005,90,2,4,3200,2,"L2",130,32,25.6,350,1050,"64-bit",74
"Legacy Intel® Pentium® Processor","Desktop","915","End of Interactive Support",2006,65,2,4,2800,4,"L2",95,32,25.6,350,1050,"64-bit",74
"Legacy Intel® Pentium® Processor","Desktop","805","End of Interactive Support",2005,90,2,4,2660,2,"L2",95,32,25.6,350,1050,"64-bit",93
"Legacy Intel® Pentium® Processor","Desktop","630","End of Interactive Support",2005,90,1,2,3000,2,"L2",84,32,25.6,350,1050,"64-bit",93
"Legacy Intel® Pentium® Processor","Desktop","517","End of Interactive Support",2005,90,1,2,2930,1,"L2",84,32,25.6,350,1050,"64-bit",93
"Intel® Celeron® Processor G Series","Desktop","G1610T","Launched",2013,22,2,2,2300,2,"SmartCache",35,32,21,650,1050,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G1620","Launched",2013,22,2,2,2700,2,"SmartCache",55,32,21,650,1050,"64-bit",41
"Intel® Celeron® Processor G Series","Desktop","G1620T","Launched",2013,22,2,2,2400,2,"SmartCache",35,32,21,650,1050,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G1820","Launched",2014,22,2,2,2700,2,"SmartCache",53,32,21.3,350,1050,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G1630","End of Life",2013,22,2,2,2800,2,"SmartCache",55,32,21,650,1050,"64-bit",52
"Intel® Celeron® Processor G Series","Desktop","G1820T","End of Life",2014,22,2,2,2400,2,"SmartCache",35,32,21.3,200,1050,"64-bit",42
"Intel® Celeron® Processor G Series","Embedded","G1820TE","Launched",2014,22,2,2,2200,2,"SmartCache",35,32,21.3,350,1000,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G1830","End of Life",2014,22,2,2,2800,2,"SmartCache",53,32,21.3,350,1050,"64-bit",52
"Intel® Celeron® Processor G Series","Desktop","G1840","End of Life",2014,22,2,2,2800,2,"Original",53,32,21.3,350,1050,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G1840T","End of Life",2014,22,2,2,2500,2,"Original",35,32,21.3,200,1050,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G1850","End of Life",2014,22,2,2,2900,2,"Original",53,32,21.3,350,1050,"64-bit",52
"Intel® Celeron® Processor G Series","Desktop","G3900","Launched",2015,14,2,2,2800,2,"SmartCache",51,64,34.1,350,950,"64-bit",42
"Intel® Celeron® Processor G Series","Desktop","G3900T","Launched",2015,14,2,2,2600,2,"SmartCache",35,64,34.1,350,950,"64-bit",107
"Intel® Celeron® Processor G Series","Embedded","G3900E","Launched",2016,14,2,2,2400,2,"SmartCache",35,64,34.1,350,950,"64-bit",107
"Intel® Celeron® Processor G Series","Embedded","G3900TE","Launched",2015,14,2,2,2300,2,"SmartCache",35,64,34.1,350,950,"64-bit",42
